time,event,frequency,duration
0,4,2685,12968
0,1,1453,140020
0,10,602,1332
0,11,230,9
0,14,114,79
0,5,32,1995
0,6,5,3512
0,8,1,133635
1,4,1378,8954
1,1,958,170750
1,10,235,105
1,11,232,6
1,14,140,6
1,5,30,82
1,8,8,740
1,7,6,4130
1,6,3,25314
2,4,351,2589
2,1,324,1446954
2,10,34,10
2,14,31,8
2,11,13,85
2,5,4,1013
2,6,4,585
3,1,50,379
3,4,44,805
3,5,1,2
4,1,5,19
4,4,2,23768
6,1,54,392
6,4,27,1293
6,11,9,7
6,14,5,3
6,5,4,638
6,10,1,666
7,4,311,1385
7,1,176,38668
7,10,79,6
7,14,8,2
7,5,1,196
7,6,1,70
8,4,1298,8542
8,1,901,24459
8,10,219,38
8,14,19,465
8,5,6,382
9,4,2090,10845
9,1,1355,756393
9,10,355,76
9,11,51,8
9,14,37,4
9,5,22,951
9,6,5,985
9,7,4,1516
10,4,3312,16963
10,1,1975,68421
10,10,544,1051
10,11,172,8
10,14,106,17
10,5,47,2016
10,7,9,4879
10,6,4,19827
11,4,3829,22786
11,1,2238,2006168
11,10,582,236
11,14,178,2
11,11,152,1
11,5,44,3
11,6,1,1548
11,7,1,4625
11,8,1,117901
12,4,4694,21712
12,1,2584,412988
12,10,809,467
12,14,189,9
12,11,178,13
12,5,59,6
12,7,8,2294
12,6,7,5521
12,8,2,211872
13,4,4092,19810
13,1,2328,116738
13,10,692,550
13,14,175,2
13,11,130,5
13,5,41,1892
13,6,2,6427
13,8,1,307144
14,4,2232,13825
14,1,1625,1721511
14,10,395,131
14,14,168,4
14,11,95,1132
14,5,30,6890
14,6,3,163449
15,4,3676,15047
15,1,1739,134153
15,10,420,154
15,14,134,13
15,11,44,2
15,5,26,91
15,8,12,1011
15,6,8,4639
15,7,1,110974
16,4,3356,16534
16,1,1821,2893271
16,10,406,324
16,14,122,2
16,11,93,44
16,5,50,1056
16,6,2,8660
16,8,1,84715
17,4,2470,15140
17,1,1664,104331
17,10,369,725
17,11,133,5
17,14,128,3
17,5,60,1365
17,6,4,10856
17,7,2,53843
18,4,1548,9629
18,1,976,114623
18,10,267,198
18,14,61,9
18,5,41,4
18,11,34,43
18,6,6,774
18,7,4,1273
18,8,1,16243
19,4,1350,7043
19,1,811,46182
19,10,195,35
19,14,67,866
19,11,34,801
19,5,10,34643
20,4,1850,9463
20,1,1062,131409
20,10,284,60
20,11,114,5
20,14,66,37
20,5,17,824
20,6,3,2050
20,8,3,17831
21,4,2911,14084
21,1,1687,209973
21,10,472,162
21,11,195,4
21,14,119,6
21,5,46,1347
21,6,2,8051
21,8,1,44099
22,4,3587,17560
22,1,2156,661291
22,10,569,242
22,11,265,3
22,14,155,59
22,5,53,1569
22,8,8,399439
22,6,2,431900
23,4,2874,13502
23,1,1632,394360
23,10,488,178
23,11,164,1
23,14,161,127
23,5,29,1330
23,8,18,42604
23,6,1,65575
