date,fail_rate
2016-05-16,0.0
2016-05-16,0.0
2016-05-16,0.0
2016-05-16,0.0
2016-05-16,0.0
2016-05-16,0.0
2016-05-16,0.0
2016-05-16,0.0
2016-05-16,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-17,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-06-01,0.0
2016-06-04,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-22,0.0
2016-06-22,0.0
2016-06-22,0.0
2016-06-29,0.0
2016-06-29,0.0
2016-07-12,0.0
2016-07-12,0.0
2016-07-19,0.0
2016-07-19,0.0
2016-07-19,0.07692308
2016-07-19,0.0
2016-07-19,0.0
2016-07-19,0.0
2016-07-19,0.0
2016-07-19,0.0
2016-07-19,0.0
2016-07-19,0.0
2016-07-19,0.0
2016-07-19,0.0
2016-07-22,0.0
2016-07-22,0.0
2016-07-22,0.0
2016-07-22,0.0
2016-07-22,0.0
2016-07-22,0.0
2016-07-24,0.0
2016-07-24,0.0
2016-07-24,0.0
2016-07-24,0.0
2016-07-24,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-25,0.0
2016-07-25,0.0
2016-08-01,1.0
2016-08-04,0.0
2016-08-08,0.0
2016-08-13,0.0
2016-08-13,0.5
