date,no_of_occurrence,size,normalized_occurrence
2016-04-15,131,137042,0.07142857142857142
2016-04-21,6,23082,0.0027472527472527475
2016-04-22,26,1494,0.013736263736263736
2016-04-29,9,999,0.004395604395604396
2016-05-09,2,84,0.0005494505494505495
2016-05-11,2,1715,0.0005494505494505495
2016-05-16,28,145278,0.014835164835164835
2016-05-17,6,104979,0.0027472527472527475
2016-05-18,8,115527,0.0038461538461538464
2016-05-24,3,14468,0.001098901098901099
2016-05-25,3,17897,0.001098901098901099
2016-06-01,9,119913,0.004395604395604396
2016-06-05,36,2732,0.019230769230769232
2016-06-11,10,16963,0.004945054945054945
2016-06-12,13,1040,0.006593406593406593
2016-06-21,12,114594,0.006043956043956044
2016-06-22,2,46,0.0005494505494505495
2016-07-04,1,22,0.0
2016-07-05,25,218533,0.013186813186813187
2016-07-06,11,6934,0.005494505494505495
2016-07-07,152,570153,0.08296703296703296
2016-07-08,74,78113,0.04010989010989011
2016-07-09,33,13665,0.017582417582417582
2016-07-13,10,2295,0.004945054945054945
2016-07-17,15,695,0.007692307692307693
2016-07-18,93,15601,0.05054945054945055
2016-07-19,168,149935,0.09175824175824175
2016-07-20,53,30734,0.02857142857142857
2016-07-21,61,31544,0.03296703296703297
2016-07-22,143,165721,0.07802197802197802
2016-07-23,76,62778,0.04120879120879121
2016-07-24,299,296084,0.16373626373626374
2016-07-25,245,208195,0.13406593406593406
2016-07-26,131,139356,0.07142857142857142
2016-07-27,185,683976,0.1010989010989011
2016-07-28,775,2977779,0.42527472527472526
2016-07-29,457,1644754,0.25054945054945055
2016-08-10,105,33770,0.05714285714285714
2016-08-11,52,3063,0.028021978021978023
2016-08-12,47,6009,0.025274725274725275
2016-08-13,74,87269,0.04010989010989011
2016-08-14,121,12982,0.06593406593406594
2016-08-15,27,7389,0.014285714285714285
2016-08-16,191,361291,0.1043956043956044
2016-08-17,75,54259,0.04065934065934066
2016-08-18,63,3968,0.03406593406593406
2016-08-19,211,72618,0.11538461538461539
2016-08-20,151,70166,0.08241758241758242
2016-08-21,226,49947,0.12362637362637363
2016-08-22,365,86047,0.2
2016-08-23,206,145934,0.11263736263736264
2016-08-24,161,101283,0.08791208791208792
2016-08-25,83,134650,0.045054945054945054
2016-08-26,19,106169,0.00989010989010989
2016-08-27,2,107,0.0005494505494505495
2016-08-29,25,2616,0.013186813186813187
2016-09-19,8,350,0.0038461538461538464
2016-09-20,25,57810,0.013186813186813187
2016-09-26,252,1123158,0.13791208791208792
2016-10-18,51,71138,0.027472527472527472
2016-10-19,130,26745,0.07087912087912088
2016-11-01,52,6202,0.028021978021978023
2016-11-07,39,27845,0.020879120879120878
2016-11-09,8,23020,0.0038461538461538464
2016-11-14,5,866,0.002197802197802198
2016-11-22,26,266426,0.013736263736263736
2016-12-10,154,241690,0.08406593406593407
2016-12-11,73,264296,0.03956043956043956
2016-12-12,1821,9576766,1.0
